Name,Hours,Contact,Description/Website,Address,New Georeferenced Column
Active Aging,Monday- 8:00 am - 3:00 pm                                  Tuesday- 8:00 am - 3:00 pm                              Wednesday- 8:00 am - 3:00 pm                             Thursday- 8:00 am - 3:00 pm                                    Friday- 8:00 am - 3:00 pm                                    Saturday- CLOSED                                                 Sunday- CLOSED,(814) 336-1792,https://www.facebook.com/TheActiveAgingCenterofMeadville/ ,"1034 Park Ave, Meadville, PA 16335",POINT (-80.15445869999999 41.63536839999999)
Armstrong “Breaking Bread” Program,Monday- 8:00 am - 4:30 pm                             Tuesday- 8:00 am - 4:30 pm                                Wednesday- 8:00 am - 4:30 pm                             Thursday- 9:00 am - 4:30 pm                                   Friday- 8:00 am - 4:30 pm                               Saturday- CLOSED                                            Sunday- CLOSED,+1 (877) 277-5711,https://armstrongonewire.com/BreakingBread,"160 Westview Dr, Meadville, PA 16335",POINT (-80.15877569999999 41.6594735)
Associated Charities of Titusville  CFS- Titusville Area Food Bank,Monday- 9:00 am - 4:00 pm                                        Tuesday- 9:00 am - 4:00 pm                                        Wednesday- 9:00 am - 4:00 pm                                   Thursday- 9:00 am - 4:00 pm                                      Friday- 9:00 am - 4:00 pm                                           Saturday- CLOSED                                                      Sunday- CLOSED,(814) 827-6613,https://www.facebook.com/AssociatedCharitesTitusville/  ,"409 E Central Ave, Titusville, PA 16354",POINT (-79.6665682 41.6271785)
CFS- Cambridge Springs Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"201 Carringer St, Cambridge Springs, PA 16403",POINT (-80.0605503 41.8042595)
CFS- Center for Family Services Emergency Food Pantry,Monday- 8:00 am - 12:00 pm /12:30pm - 3:30pm         Tuesday- 8:00 am - 12:00 pm / 12:30pm - 4:00pm                Wednesday- 8:00 am - 12:00pm / 12:30pm - 3:30pm                             Thursday- 9:00 am - 12:00 pm / 12:30pm - 4:00pm                         Friday- 8:00 am - 12:00 pm                             Saturday- CLOSED                                            Sunday- CLOSED,+1(814) 337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/,"213 W Center St, Meadville, PA 16335",POINT (-80.1540662 41.6398504)
CFS- Conneaut Lake Area Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"155 S 9th St, Conneaut Lake, PA 16316",POINT (-80.3137701 41.603027)
CFS- Seagertown Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/,"417 Euclid Ave, Saegertown, PA 16433",POINT (-80.14638599999999 41.719772)
CFS- Springboro/Conneaut Valley Area Food Pantry,Please contact the organization for its hours of operation.,(814) 587-3000,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"1118 Main St, Conneautville, PA 16406",POINT (-80.36771700000001 41.7567703)
County Board of Assistance Public Welfare,Monday- 7:30 am - 5:00 pm                          Tuesday- 7:30 am - 5:00 pm                    Wednesday- 7:30 am - 5:00 pm                             Thursday- 7:30 am - 5:00 pm                           Friday- 7:30 am - 5:00 pm                            Saturday- CLOSED                                         Sunday- CLOSED,(814) 333-3400,https://www.dhs.pa.gov/Services/Assistance/Pages/CAO-Contact.aspx ,"1084 Water St, Meadville, PA 16335",POINT (-80.15707499999999 41.6343586)
Linesville Food Pantry,Please contact the organization for its hours of operation.,814-683-5313,https://stspeterphilip.com/organizationsministries.html ,"401 S Mercer St, Linesville, PA 16424",POINT (-80.4253064 41.6514726)
