Name,Hours,Contact,Description/Website,Address,Latitude,Longitude
Active Aging,Monday- 8:00 am - 3:00 pm                                  Tuesday- 8:00 am - 3:00 pm                              Wednesday- 8:00 am - 3:00 pm                             Thursday- 8:00 am - 3:00 pm                                    Friday- 8:00 am - 3:00 pm                                    Saturday- CLOSED                                                 Sunday- CLOSED,(814) 336-1792,https://www.facebook.com/TheActiveAgingCenterofMeadville/ ,"1034 Park Ave, Meadville, PA 16335",41.63536840000000,-80.1544587
Armstrong “Breaking Bread” Program,Monday- 8:00 am - 4:30 pm                             Tuesday- 8:00 am - 4:30 pm                                Wednesday- 8:00 am - 4:30 pm                             Thursday- 9:00 am - 4:30 pm                                   Friday- 8:00 am - 4:30 pm                               Saturday- CLOSED                                            Sunday- CLOSED,+1 (877) 277-5711,https://armstrongonewire.com/BreakingBread,"160 Westview Dr, Meadville, PA 16335",41.6594735,-80.1587757
Associated Charities of Titusville  CFS- Titusville Area Food Bank,Monday- 9:00 am - 4:00 pm                                        Tuesday- 9:00 am - 4:00 pm                                        Wednesday- 9:00 am - 4:00 pm                                   Thursday- 9:00 am - 4:00 pm                                      Friday- 9:00 am - 4:00 pm                                           Saturday- CLOSED                                                      Sunday- CLOSED,(814) 827-6613,https://www.facebook.com/AssociatedCharitesTitusville/  ,"409 E Central Ave, Titusville, PA 16354",41.6271785,-79.6665682
CFS- Cambridge Springs Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"201 Carringer St, Cambridge Springs, PA 16403",41.8042595,-80.0605503
CFS- Center for Family Services Emergency Food Pantry,Monday- 8:00 am - 12:00 pm /12:30pm - 3:30pm         Tuesday- 8:00 am - 12:00 pm / 12:30pm - 4:00pm                Wednesday- 8:00 am - 12:00pm / 12:30pm - 3:30pm                             Thursday- 9:00 am - 12:00 pm / 12:30pm - 4:00pm                         Friday- 8:00 am - 12:00 pm                             Saturday- CLOSED                                            Sunday- CLOSED,+1(814) 337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/,"213 W Center St, Meadville, PA 16335",41.6398504,-80.1540662
CFS- Conneaut Lake Area Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"155 S 9th St, Conneaut Lake, PA 16316",41.603027,-80.3137701
CFS- Seagertown Food Pantry,Please contact the organization for its hours of operation.,(814)-337-8450,https://www.ctrforfamilyservices.org/programs-services/food-pantries/,"417 Euclid Ave, Saegertown, PA 16433",41.719772,-80.146386
CFS- Springboro/Conneaut Valley Area Food Pantry,Please contact the organization for its hours of operation.,(814) 587-3000,https://www.ctrforfamilyservices.org/programs-services/food-pantries/ ,"1118 Main St, Conneautville, PA 16406",41.7567703,-80.367717
County Board of Assistance Public Welfare,Monday- 7:30 am - 5:00 pm                          Tuesday- 7:30 am - 5:00 pm                    Wednesday- 7:30 am - 5:00 pm                             Thursday- 7:30 am - 5:00 pm                           Friday- 7:30 am - 5:00 pm                            Saturday- CLOSED                                         Sunday- CLOSED,(814) 333-3400,https://www.dhs.pa.gov/Services/Assistance/Pages/CAO-Contact.aspx ,"1084 Water St, Meadville, PA 16335",41.6343586,-80.157075
Linesville Food Pantry,Please contact the organization for its hours of operation.,814-683-5313,https://stspeterphilip.com/organizationsministries.html ,"401 S Mercer St, Linesville, PA 16424",41.6514726,-80.4253064
Little Food Pantry,,,,"1128 S Main St, Meadville, PA 16335",41.6326568,-80.1527798
Epiphany of the Lord Parish,,(814) 336-1112,https://www.epiphanymeadville.org,"353 Pine St, Meadville, PA 16335",41.6351896,-80.15038
Faith and Fellowship Food Pantry,,(814) 336-4124,http://uffcogministries.com,"561 State St, Meadville, PA 16335",41.6404432,-80.1437088
Family & Community Christian Association,Monday- 8:00 am - 4:00 pm                          Tuesday- 8:00 am - 4:00 pm                    Wednesday- 8:00 am - 4:00 pm                             Thursday- 8:00 am - 3:00 pm                           Friday- 8:00 am - 4:00 pm                            Saturday- CLOSED                                         Sunday- CLOSED,814-337-4279,https://www.fccafamily.com,"378 Chestnut St, Meadville, PA 16335",41.6367399,-80.1488768
Food for Thought Free Food Pantry,Please contact the organization for its hours of operation.,,,"32695 State Hwy 408, Townville, PA 16360",41.68319030000000,-79.893962
Harmonsburg Community Food Pantry,Please refer to a neighboring food resource location on this map that may assist you with information to this site.,,,"14182 1st St, Harmonsburg, PA 16422",41.66092900000000,-80.3149404
Little Free Pantry Network,Monday- ALWAYS OPEN                              Tuesday- ALWAYS OPEN                         Wednesday- ALWAYS OPEN                             Thursday- ALWAYS OPEN                                Friday- ALWAYS OPEN                                Saturday- ALWAYS OPEN                              Sunday- ALWAYS OPEN,info@littlefreepantry.org,https://www.facebook.com/lfpmdvl/,"1216 S Main St, Meadville, PA 16335",41.6303674,-80.1537609
