Name,Hours,Contact,Website and Online Order,Address,Georeferenced Column
Arby’s,Monday- 9:00 am  - 12:00 am Tuesday- 9:00 am - 12:00 am  Wednesday- 9:00 am - 12:00 am Thursday- 9:00 am - 12:00 am     Friday- 9:00 am - 12:00 am         Saturday- 9:00 am - 12:00 am    Sunday- 9:00 am - 12:00 am,(814) 410-1100,https://www.arbys.com/menu/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=menu%20link,"1151 Park Ave, Meadville, PA 16335",POINT (-80.154670 41.631870)
Burger King,Monday- 5:30 am  - 12:00 am Tuesday- 5:30 am - 12:00 am  Wednesday- 5:30 am - 12:00 am Thursday- 5:30 am - 12:00 am     Friday- 5:30 am - 12:00 am         Saturday- 5:30 am - 12:00 am    Sunday- 5:30 am - 12:00 am,(814) 337-5004,https://www.bk.com/store-locator,"817 Park Ave, Meadville, PA 16335",POINT (-80.151230 41.640760)
Burger King,Monday- 7:00 am  - 11:00 pm Tuesday- 7:00 am - 11:00 pm  Wednesday- 7:00 am - 11:00 pm Thursday- 7:00 am - 11:00 pm     Friday- 7:00 am - 11:00 pm         Saturday- 7:00 am - 10:00 pm    Sunday- 7:00 am - 10:00 pm,(814) 333-1168,https://www.bk.com/store-locator,"16733 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.201420 41.622620)
Burger King,Monday- 5:30 am  - 11:00 pm Tuesday- 5:30 am - 11:00 pm  Wednesday- 5:30 am - 11:00 pm Thursday- 5:30 am - 11:00 pm     Friday- 5:30 am - 11:00 am         Saturday- 6:00 am - 12:00 am    Sunday- 7:00 am - 11:00 pm,(814) 827-9608,https://www.bk.com/store-locator,"213 S Franklin St, Titusville, PA 16354",POINT (-79.673790 41.625650)
City Limits Ice Cream,Monday- CLOSED  - CLOSED Tuesday- CLOSED - CLOSED  Wednesday- CLOSED - CLOSED Thursday-CLOSED - CLOSED     Friday- CLOSED - CLOSED         Saturday- 12:00 am - 8:00 am    Sunday- 12:00 am - 8:00 pm,(814) 827-3128,Uber Eats-    https://www.ubereats.com/store/city-limits-ice-cream/F4WOiMw9X5ChJ7bFEy9z3w?utm_campaign=place-action-link&utm_medium=organic&utm_source=google,"926 E Main St, Titusville, PA 16354",POINT (-79.656070 41.627870)
Dairy Queen,Monday- 10:00 am  - 9:00 am Tuesday- 10:00 am - 9:00 am  Wednesday- 10:00 am - 9:00 am Thursday- 10:00 am - 9:00 am     Friday- 10:00 am - 10:00 am         Saturday- 10:00 am - 10:00 am    Sunday- 10:00 am - 9:00 am,(814) 333-6446,https://www.dairyqueen.com/en-us/Menu/Food/,"18392 Conneaut Laje Rd, Meadville, PA 16335",POINT (-80.169310 41.621270)
Domino’s Pizza,Monday- 10:30 am  - 1:00 am Tuesday- 10:30 am - 1:00 am  Wednesday- 10:30 am - 1:00 am Thursday- 10:30 am - 1:00 am     Friday- 10:30 am - 2:00 am         Saturday- 10:30 am - 2:00 am    Sunday- 10:30 am - 1:00 am,(814) 333-4300,https://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewAll/,"220 Willow St, Meadville, PA 16335",POINT (-80.156920 41.632330)
Domino’s Pizza,Monday- 10:30 am  - 12:00 am Tuesday- 10:30 am - 12:00 am  Wednesday- 10:30 am - 12:00 am Thursday- 10:30 am - 12:00 am     Friday- 10:30 am - 1:00 am         Saturday- 10:30 am - 1:00 am    Sunday- 10:30 am - 12:00 am,(814) 775-5100,https://www.dominos.com/en/pages/order/menu?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmapsmenuclick#!/menu/category/viewAll/,"320 E Central Ave, Titusville, PA 16354",POINT (-79.668550 41.627380)
Dunkin,Restaurant Hours-             Monday- 4:30 am  - 9:00 pm Tuesday- 4:30 am - 9:00 pm  Wednesday- 4:30 am - 9:00 pm Thursday- 4:30 am - 9:00 pm     Friday- 4:30 am - 9:00 pm         Saturday- 4:30 am - 9:00 pm    Sunday- 4:30 am - 9:00 pm             Delivery-                                           Monday- 5:00 am  - 8:00 pm Tuesday- 5:00 am - 8:00 pm  Wednesday- 5:00 am - 8:00 pm Thursday- 5:00 am - 8:00 pm     Friday- 5:00 am - 8:00 pm         Saturday- 5:00 am - 8:00 pm    Sunday- 5:00 am - 1:00 pm,(814) 337-0211,https://locations.dunkindonuts.com/en/pa/meadville/18184-conneaut-lake-rd/357751?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=357751&y_source=1_MTMyNzI1MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"18184 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.173020 41.621700)
Eddie’s Footlong Hotdogs,Monday- 11:00 am  - 6:00 pm Tuesday- 11:00 am - 6:00 pm  Wednesday- 11:00 am - 6:00 pm Thursday- 11:00 am - 6:00 pm     Friday- 11:00 am - 6:00 pm         Saturday- CLOSED             Sunday- CLOSED,(814) 333-1006,https://eddiesfootlong.com/,"900 Water St, Meadville, PA 16335",POINT (-80.155600 41.638690)
Fox’s Pizza Den,Monday- 10:30 am  - 9:00 pm Tuesday- 10:30 am - 9:00 pm  Wednesday- 10:30 am - 9:00 pm Thursday- 10:30 am - 9:00 pm     Friday- 10:30 am - 10:00 pm         Saturday- 10:30 am - 10:00 pm    Sunday- 10:30 am - 9:00 pm,(814) 827-0369,https://www.foxspizza.com/,"425 E Central Ave, Titusville, PA 16354",POINT (-79.665780 41.627420)
KFC,Monday- 10:30 am  - 9:00 pm Tuesday- 10:30 am - 9:00 pm  Wednesday- 10:30 am - 9:00 pm Thursday- 10:30 am - 9:00 pm     Friday- 10:30 am - 10:00 pm         Saturday- 10:30 am - 10:00 pm    Sunday- 10:30 am - 9:00 pm,(814) 336-5663,https://www.kfc.com/menu,"18838 Park Avenue Plaza, Meadville, PA 16335",POINT (-80.161300 41.621470)
Little Caesars Pizza,Monday- 11:00 am  - 9:00 pm Tuesday- 11:00 am - 9:00 pm  Wednesday- 11:00 am - 9:00 pm Thursday- 11:00 am - 9:00 pm     Friday- 11:00 am - 9:30 pm         Saturday- 11:00 am - 9:30 pm    Sunday- 11:00 am - 8:00 pm,(814) 724-2111,https://littlecaesars.com/en-us/menu/,"801 Park Ave, Meadville, PA 16335",POINT (-80.151210 41.641330)
Little Caesars Pizza,Monday- 11:00 am  - 9:00 pm Tuesday- 11:00 am - 9:00 pm  Wednesday- 11:00 am - 9:00 pm Thursday- 11:00 am - 9:00 pm     Friday- 11:00 am - 9:00 pm         Saturday- 11:00 am - 9:00 pm    Sunday- 11:00 am - 9:00 pm,(814) 827-2112,https://littlecaesars.com/en-us/menu/,"410 E Central Ave, Titusville, PA 16354",POINT (-79.666710 41.627600)
McDonald’s,Monday- 5:30 am  - 11:00 am Tuesday- 5:30 am - 11:00 am  Wednesday- 5:30 am - 11:00 am Thursday- 5:30 am - 11:00 am     Friday- 5:30 am - 11:00 am         Saturday- 5:30 am - 11:00 am    Sunday- 5:30 am - 11:00 am,(814) 219-3050,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,"1060 Park Ave, Meadville, PA 16335",POINT (-80.154490 41.634790)
McDonald’s,Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm,(814) 219-3053,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,"16830 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.199560 41.623990)
McDonald’s,Restaurant Hours-                            Monday- 5:00 am  - 1:00 am Tuesday- 5:00 am - 1:00 am  Wednesday- 5:00 am - 1:00 am Thursday- 5:00 am - 1:00 am     Friday- 5:00 am - 1:00 am         Saturday- 4:00 am - 1:00 am    Sunday- 4:00 am - 1:00 am           Take-Out Hours-                               Monday- 5:00 am  - 12:00 am Tuesday- 5:00 am - 12:00 am  Wednesday- 5:00 am - 12:00 am Thursday- 5:00 am - 12:00 am     Friday- 5:00 am - 12:00 am         Saturday- 5:00 am - 12:00 am    Sunday- 5:00 am - 12:00 am           Drive-Thru Hours-                            Monday- 5:00 am  - 1:00 am Tuesday- 5:00 am - 1:00 am  Wednesday- 5:00 am - 1:00 am Thursday- 5:00 am - 1:00 am     Friday- 5:00 am - 1:00 am         Saturday- 4:00 am - 1:00 am    Sunday- 4:00 am - 1:00 am,(814) 827-3542,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,"420 S Franklin St, Titusville, PA 16354",POINT (-79.672860 41.623500)
O’s Dairy Hut,Monday- 12:00 am  - 9:00 pm Tuesday- 12:00 am - 9:00 pm  Wednesday- 12:00 am - 9:00 pm Thursday- 12:00 am - 9:00 pm     Friday- 12:00 am - 9:00 pm         Saturday- 12:00 am - 9:00 pm    Sunday- 12:00 am - 8:00 pm,(814) 724-4308,,"16358 Harmonsburg Rd, Meadville, PA 16335",POINT (-80.209620 41.647740)
Pizza Hut,Monday- 11:00 am  - 10:00 pm Tuesday- 11:00 am - 10:00 pm  Wednesday- 11:00 am - 10:00 pm Thursday- 11:00 am - 10:00 pm     Friday- 11:00 am - 10:00 pm         Saturday- 11:00 am - 10:00 pm    Sunday- 11:00 am - 10:00 pm,(814) 336-1101,https://www.pizzahut.com/,"18822 Park Ave Plz Meadville, PA 16335",POINT (-80.161040 41.622500)
Pizza Hut,Restaurant Hours-             Monday- 11:00 am  - 10:00 pm Tuesday- 11:00 am - 10:00 pm  Wednesday- 11:00 am - 10:00 pm Thursday- 11:00 am - 10:00 pm     Friday- 11:00 am - 10:00 pm         Saturday- 11:00 am - 10:00 pm    Sunday- 11:00 am - 10:00 pm         Delivery Hours-                                Monday- 11:00 am  - 9:00 am Tuesday- 11:00 am - 9:00 am  Wednesday- 11:00 am - 9:00 am Thursday- 11:00 am - 9:00 am     Friday- 11:00 am - 9:00 am         Saturday- 11:00 am - 9:00 am    Sunday- 11:00 am - 9:00 am           Takeout Hours-                                 Monday- 11:00 am  - 10:00 pm Tuesday- 11:00 am - 10:00 pm  Wednesday- 11:00 am - 10:00 pm Thursday- 11:00 am - 10:00 pm     Friday- 11:00 am - 10:00 pm         Saturday- 11:00 am - 10:00 pm    Sunday- 11:00 am - 10:00 pm,(814) 827-2795,https://www.pizzahut.com/menu?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=menu&utm_term=296942,"322 E Central Ave, Titusville, PA 16354",POINT (-79.668470 41.627560)
Pizza Joe’s,Monday- 11:00 am  - 8:30 pm Tuesday- 11:00 am - 8:30 pm  Wednesday- 11:00 am - 8:30 pm Thursday- 11:00 am - 8:30 pm     Friday- 11:00 am - 10:00 pm         Saturday- 11:00 am - 10:00 pm    Sunday- 11:00 am - 6:00 pm,(814) 382-0222,https://www.pizzajoes.com/wp-content/uploads/2019/07/PJ49-Conneaut-Lake-menu-1-24.pdf,"10571 PA-18, Conneaut Lake, PA 16316",POINT (-80.309380 41.600040)
