Name,Hours,Contact,Online Order,Address,Georeferenced Column
Adamsville General Store,Please contact store for hours of operation,(724) 932-5197,,"3950 Main St Adamsville, PA 16110",POINT (-80.369330 41.511570)
ALDI,Monday- 8:30 am  - 8:00 pm Tuesday- 8:30 am - 8:00 pm  Wednesday- 8:30 am -8:00 pm Thursday- 8:30 am - 8:00 pm     Friday- 8:30 am - 8:00 pm         Saturday- 8:30 am - 8:00 pm    Sunday- 8:30 am - 8:00 pm,(855) 955-2534,Aldi.us-                    https://shop.aldi.us/store/aldi/storefront?utm_campaign=aldi&utm_source=instacart_google&utm_medium=google_place_action&utm_content=retailerid-12_regionid-8310309150_warehouseid-12&rwg_token=AAh05qawUVFx4SE9fWOlcex0LT34UXkxsOmQdDVH3e-84EwYjbi-MU4PRUlYHCotKEN1raJhgf4HmlLfbqPtFme5Z7OqALmp_w%3D%3D             Instacart-                  https://www.instacart.com/store/aldi/storefront Doordash-                https://www.doordash.com/convenience/store/aldi-meadville-24679667/?utm_campaign=gpa,"16500 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.205880 41.622800)
Al’s Melons,Monday- 9:00 am  - 6:00 pm Tuesday- 9:00 am - 6:00 pm  Wednesday- 9:00 am - 6:00 pm Thursday- 9:00 am - 6:00 pm     Friday- 9:00 am - 6:00 pm         Saturday- 9:00 am - 6:00 pm    Sunday- 9:00 am - 5:00 pm ,(814) 382-3152,https://www.alsmelonsfarmmarket.com/index.html,"10304 Us Highway 6 Conneaut Lake, PA 16316",POINT (-80.301020 41.603290)
BP Service Stations,Please contact store for hours of operation,814-425-7874,,"101 S Franklin St, Cochranton, PA 16314",POINT (-80.048120 41.520050)
Brian’s Country Market,Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 9:00 pm ,814-967-4156,,"19078 Townville Rd, Centerville, PA 16404",POINT (-79.903910 41.761360)
Citgo,Monday- 6:00 am  - 12:00 am Tuesday- 6:00 am - 12:00 am  Wednesday- 6:00 am - 12:00 am Thursday- 6:00 am - 12:00 am     Friday- 6:00 am - 12:00 am         Saturday- 8:00 am - 12:00 am    Sunday- 8:00 am - 12:00 am,(814) 337-5326,,"18163 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.173640 41.620870)
Citgo,Monday- 6:00 am  - 9:00 am Tuesday- 6:00 am - 9:00 am  Wednesday- 6:00 am - 9:00 am Thursday- 6:00 am - 9:00 am     Friday- 6:00 am - 10:00 am         Saturday- 6:00 am - 10:00 am    Sunday- 86:00 am - 9:00 am,(814) 336-1457,,"16401 PA-98, Meadville, PA 16335",POINT (-80.228840 41.694650)
Citgo,Please contact store for hours of operation,,,"5775 U.S. Hwy 19, Cochranton, PA 16314",POINT (-80.188300 41.542490)
Citgo,Please contact store for hours of operation,(814) 425-3862,,"110 W, 110 Adams St, Cochranton, PA 16314",POINT (-80.049020 41.520280)
Cochranton Marketplace,Monday- 8:00 am  - 7:00 pm Tuesday- 8:00 am - 7:00 pm  Wednesday- 8:00 am - 7:00 pm Thursday- 8:00 am - 7:00 pm     Friday- 8:00 am - 7:00 pm         Saturday- 8:00 am - 7:00 pm    Sunday- 8:00 am - 4:00 pm ,(814) 435-3690,,"115 Adams St, Cochranton, PA 16314",POINT (-80.047180 41.520600)
